구,한국인,외국인,외국인 비율
Total,9740398,285529,2.8
Jongrogu,151767,11093,6.8
Jongru,126409,10254,7.5
Yongsangu,228830,16159,6.6
Seongdonggu,303158,8132,2.6
Kwangjingu,352692,15645,4.2
Dongdaemoongu,346551,17228,4.7
Jungranggu,398812,4964,1.2
Seongbukgu,441590,12524,2.8
Gangbukgu,314090,3785,1.2
Dobonggu,335280,2314,0.7
Nowonggu,535282,4547,0.8
Eunpyonggu,481663,4496,0.9
Seodaemungu,310069,14020,4.3
Mapogu,373629,11976,3.1
Yangcheongu,459849,4082,0.9
Gangseogu,593708,6532,1.1
Gurogu,406748,33102,7.5
Guemcheongu,233371,19497,7.7
Youngdeungpogu,368402,34076,8.5
Dongjakgu,397618,12869,3.1
Kwanakgu,502117,17836,3.4
Seoucheogu,431027,4231,1.0
Gangnamgu,544028,5015,0.9
Songpagu,677489,6849,1.0
Gangdonggu,426219,4303,1.0
