Gu,Korean,Foreigner,Senior
Total,9740398,285529,1468146
Jongrogu,151767,11093,27394
Jongru,126409,10254,23025
Yongsangu,228830,16159,38531
Seongdonggu,303158,8132,43662
Kwangjingu,352692,15645,47347
Dongdaemoongu,346551,17228,58764
Jungranggu,398812,4964,64449
Seongbukgu,441590,12524,70204
Gangbukgu,314090,3785,59808
Dobonggu,335280,2314,58070
Nowonggu,535282,4547,79968
Eunpyonggu,481663,4496,79957
Seodaemungu,310069,14020,51708
Mapogu,373629,11976,51961
Yangcheongu,459849,4082,60487
Gangseogu,593708,6532,82937
Gurogu,406748,33102,64952
Guemcheongu,233371,19497,37191
Youngdeungpogu,368402,34076,57350
Dongjakgu,397618,12869,61607
Kwanakgu,502117,17836,74518
Seoucheogu,431027,4231,56455
Gangnamgu,544028,5015,70029
Songpagu,677489,6849,86062
Gangdonggu,426219,4303,61710
